sample_barcode	sample_id
GTEX-X4EO-2726-SM-4E3HS	SRR1077380
GTEX-X4XY-0011-R10B-SM-46MWS	SRR1077405
GTEX-WFG8-1826-SM-4LVM4	SRR1077429
GTEX-Q2AG-3026-SM-48U1L	SRR1077455
GTEX-O5YT-0126-SM-48TBW	SRR1077479
GTEX-XXEK-0005-SM-4BRWJ	SRR1077503
GTEX-XGQ4-0526-SM-4AT6C	SRR1077528
GTEX-WFON-0126-SM-4LVM9	SRR1077549
GTEX-S4Q7-0526-SM-4AD5N	SRR1077575
GTEX-TKQ2-1226-SM-4DXSV	SRR1077599
GTEX-RNOR-1226-SM-48FDQ	SRR1077619
GTEX-XV7Q-0826-SM-4BRV7	SRR1077643
GTEX-TML8-1326-SM-4DXTO	SRR1077667
GTEX-XLM4-0011-R4B-SM-4AT5C	SRR1077687
GTEX-TSE9-3126-SM-4DXSY	SRR1077708
GTEX-X5EB-1626-SM-4E3IV	SRR1077728
GTEX-XQ3S-2726-SM-4BOP2	SRR1077753
GTEX-UTHO-0008-SM-4JBID	SRR1077781
GTEX-XYKS-2426-SM-4AT43	SRR1077805
GTEX-X8HC-0008-SM-46MU6	SRR1077826
GTEX-S4Q7-0626-SM-4AD5M	SRR1077850
GTEX-V955-1026-SM-4JBHO	SRR1077874
GTEX-XAJ8-1426-SM-47JYM	SRR1077898
GTEX-RU72-0626-SM-46MUI	SRR1077920
GTEX-QCQG-0226-SM-48U28	SRR1077944
GTEX-RNOR-2426-SM-48FDY	SRR1077968
GTEX-QCQG-0726-SM-48U1Z	SRR1077992
GTEX-WEY5-0726-SM-4LMID	SRR1077996
GTEX-RVPV-0008-SM-47JYW	SRR1078020
GTEX-PWCY-1326-SM-48TCU	SRR1078042
GTEX-OOBK-1026-SM-48TC2	SRR1078066
GTEX-QLQ7-0826-SM-447B3	SRR1078090
GTEX-XUW1-0226-SM-4BOOS	SRR1078114
GTEX-S33H-0826-SM-4AD5Y	SRR1078140
GTEX-V1D1-1926-SM-4JBGX	SRR1078164
GTEX-R55G-1626-SM-48FF4	SRR1078188
GTEX-RWS6-1326-SM-47JXB	SRR1078212
GTEX-QDT8-0126-SM-48TZ1	SRR1078234
GTEX-U3ZN-1926-SM-4DXSG	SRR1078258
GTEX-S7SF-1926-SM-4AT5B	SRR1078278
GTEX-Q2AI-1226-SM-48U14	SRR1078299
GTEX-VUSG-2826-SM-4KKZM	SRR1078323
GTEX-XMD1-0011-R3B-SM-4AT5R	SRR1078347
GTEX-W5WG-1526-SM-4LMIG	SRR1078368
GTEX-X5EB-1726-SM-4E3J7	SRR1078392
GTEX-XUYS-0008-SM-47JYZ	SRR1078417
GTEX-NPJ8-0226-SM-48TBN	SRR1078489
GTEX-QMRM-0926-SM-447BR	SRR1078514
GTEX-T5JW-1326-SM-4DM5G	SRR1078538
GTEX-PX3G-0726-SM-48TZT	SRR1078562
GTEX-WFON-0526-SM-4LVLY	SRR1078586
GTEX-V1D1-2126-SM-4JBH4	SRR1078612
GTEX-RU72-2226-SM-46MUE	SRR1078636
GTEX-WFG7-1226-SM-4LMK2	SRR1078660
GTEX-T8EM-1826-SM-4DM7F	SRR1078684
GTEX-WFG8-1126-SM-4LVN1	SRR1078709
GTEX-QCQG-1426-SM-48U22	SRR1078735
GTEX-QDVJ-1426-SM-48U1Y	SRR1078759
GTEX-WFG8-1026-SM-4LVMZ	SRR1078783
GTEX-U8XE-1726-SM-4E3IF	SRR1078809
GTEX-XBED-2426-SM-4AT4O	SRR1078834
GTEX-SJXC-2026-SM-4DM6N	SRR1078855
GTEX-X585-0011-R2B-SM-46MVF	SRR1078879
GTEX-XGQ4-2426-SM-4AT55	SRR1078903
K-562-SM-4KKZ9	SRR1078924
GTEX-QDVJ-1326-SM-48U1X	SRR1078948
GTEX-XUW1-0008-SM-4BOQH	SRR1078972
GTEX-NL3G-0008-SM-4E3JX	SRR1078998
