gene1,gene2,mut11,mut10,mut01,mut00,odds_ratio,cooccur_sign,odds_ratio_ci,p,q,cooccur_score,n_mutated_gene1,n_mutated_gene2,perc_mutated_gene1,perc_mutated_gene2,perc_cooccur,perc_mutexcl,mut1,mut2,label1,label2
STAG2,IGFN1,2,7,5,654,37.371428571428574,1,"6.17095056397251,226.322291677916",0.003276220377436489,0.0061086300796951275,2.4846268927829342,9,7,1.347305389221557,1.0479041916167664,14.285714285714286,85.71428571428571,9,7,STAG2 (9),IGFN1 (7)
STAG2,TNC,2,7,5,654,37.371428571428574,1,"6.17095056397251,226.322291677916",0.003276220377436489,0.0061086300796951275,2.4846268927829342,9,7,1.347305389221557,1.0479041916167664,14.285714285714286,85.71428571428571,9,7,STAG2 (9),TNC (7)
IDH1,KDM6A,0,9,9,650,0,-1,"0,66.4945532866584",1,1,0,9,9,1.347305389221557,1.347305389221557,0,100,9,9,IDH1 (9),KDM6A (9)
IDH1,KRAS,1,8,8,651,10.171875,1,"1.13534197460811,91.1329302797418",0.11558078828896341,0.15440181641655418,0.9371143478660062,9,9,1.347305389221557,1.347305389221557,5.882352941176471,94.11764705882354,9,9,IDH1 (9),KRAS (9)
IDH1,KIAA1549,0,9,8,651,0,-1,"0,75.0405573241651",1,1,0,9,8,1.347305389221557,1.1976047904191616,0,100,9,8,IDH1 (9),KIAA1549 (8)
IDH1,PCLO,0,9,8,651,0,-1,"0,75.0405573241651",1,1,0,9,8,1.347305389221557,1.1976047904191616,0,100,9,8,IDH1 (9),PCLO (8)
IDH1,CCDC168,0,9,8,651,0,-1,"0,75.0405573241651",1,1,0,9,8,1.347305389221557,1.1976047904191616,0,100,9,8,IDH1 (9),CCDC168 (8)
IDH1,DNHD1,0,9,8,651,0,-1,"0,75.0405573241651",1,1,0,9,8,1.347305389221557,1.1976047904191616,0,100,9,8,IDH1 (9),DNHD1 (8)
IDH1,MAGEL2,0,9,8,651,0,-1,"0,75.0405573241651",1,1,0,9,8,1.347305389221557,1.1976047904191616,0,100,9,8,IDH1 (9),MAGEL2 (8)
IDH1,COL4A3,0,9,8,651,0,-1,"0,75.0405573241651",1,1,0,9,8,1.347305389221557,1.1976047904191616,0,100,9,8,IDH1 (9),COL4A3 (8)
IDH1,IGSF10,0,9,8,651,0,-1,"0,75.0405573241651",1,1,0,9,8,1.347305389221557,1.1976047904191616,0,100,9,8,IDH1 (9),IGSF10 (8)
IDH1,PIK3R1,0,9,8,651,0,-1,"0,75.0405573241651",1,1,0,9,8,1.347305389221557,1.1976047904191616,0,100,9,8,IDH1 (9),PIK3R1 (8)
IDH1,PRKDC,0,9,7,652,0,-1,"0,86.0572726440323",1,1,0,9,7,1.347305389221557,1.0479041916167664,0,100,9,7,IDH1 (9),PRKDC (7)
IDH1,ADGRV1,0,9,7,652,0,-1,"0,86.0572726440323",1,1,0,9,7,1.347305389221557,1.0479041916167664,0,100,9,7,IDH1 (9),ADGRV1 (7)
