Kids_First_Biospecimen_ID,tp53_score,tp53_expression,tp53_altered,altered_counts
BS_F5BZSF3Q,0.535764135932101,34.08,other,866
BS_F6V1Y4QS,0.27929695399029336,43.94,other,866
BS_F6Z5HFWH,0.44472835300650815,7,other,866
BS_F8N6CFQE,0.43725246081695257,16.92,other,866
BS_F9WKPDFG,0.24857776666204434,2.5,other,866
BS_FAQQ0GCQ,0.02723343524039213,29.8,other,866
BS_FAVRBEW7,0.24632541322131427,4.01,other,866
BS_FBJ5Q54N,0.47384489149221887,24.45,other,866
BS_FCAKKZ20,0.9139571208625938,27.49,lost,100
BS_FEPRNEXX,0.7351706713832363,3.06,other,866
BS_FEV5A0HN,0.7290191212301721,7.35,other,866
BS_FEYMKEK8,0.06563248900329693,11.32,other,866
BS_FJWZ3M7V,0.262214078387233,29.02,other,866
BS_FJZPQZ2C,0.15944923736764904,31.74,other,866
BS_FKDQJJB5,0.8603228327854197,29.08,other,866
BS_FN07P04C,0.24857708185766048,58.1,other,866
BS_FQX1PRAJ,0.24455764784377426,16.4,other,866
BS_FRM9TG02,0.30328392423064404,13.2,other,866
BS_FRZ76GEG,0.5053695239206936,27.93,other,866
BS_FTKPQ5FZ,0.1438589990819159,29.3,other,866
BS_FW5ECXXK,0.518843962943599,11.7,other,866
BS_FWMJPKCV,0.529266548777508,9.81,other,866
BS_FX2P2WEG,0.19244592321344353,16.28,activated,11
BS_FXJY0MNH,0.7074779157725345,16.77,other,866
BS_FYRDYBMZ,0.20596926678486513,61.98,other,866
BS_G00FHF3Q,0.7203008876644469,17.02,lost,100
BS_G1Y281HX,0.3683551084690064,11.2,other,866
BS_G23JJAZY,0.41961815303168193,20.71,other,866
BS_G3RJTBZD,0.8839409251556826,16.29,lost,100
BS_G5QBBHDV,0.14512675619904544,23.15,other,866
BS_G63HYD6N,0.5764474812595486,20.4,other,866
BS_G7AGNB5G,0.41972558006894567,10.77,other,866
BS_G9XE3N9T,0.6595306376468801,9.19,other,866
BS_GAGRGSSX,0.25844510252756636,34.01,other,866
BS_GC3CH9TY,0.3638202113440331,17.74,other,866
BS_GCA4GET3,0.5274570257123202,4.8,other,866
BS_GCQFGDTX,0.8480373568069896,48.19,other,866
BS_GDHH6T5A,0.23401326797357463,10.87,other,866
BS_GE2RVZE6,0.8176213516226042,13.78,lost,100
BS_GFM6EA61,0.4735815483141637,25.92,other,866
BS_GG9W3J9Y,0.5370755742654032,49.89,other,866
BS_GHNJ4CYC,0.46193264676993834,10.9,other,866
BS_GJNCYABP,0.33270772214966166,44.3,other,866
BS_GM9Y3AZ5,0.4634727969324521,2.17,other,866
BS_GMDQK06Q,0.4748234631059065,15.05,other,866
BS_GMJBGBWB,0.5743289123682507,14.95,other,866
BS_GNV89A5P,0.6224844271570994,13.56,other,866
BS_GPEGRCCT,0.18348959479833454,30.6,other,866
BS_GR46VD0Q,0.390013103780678,34.05,other,866
BS_GS1KR5PK,0.8693055691911628,6.01,lost,100
BS_GSVCN2XC,0.8219006049483184,17.27,lost,100
BS_GTZCFGRZ,0.15794034904851373,29.9,other,866
BS_GV3NZ9QD,0.7225116411592198,15.58,other,866
BS_GW0GKWMS,0.5174312739702125,25.99,other,866
BS_GWCRMKE6,0.42250888653748436,10.99,other,866
BS_GXTFW99H,0.3485219447249815,44.33,other,866
