Sample	C11orf95--RELA	EWSR1--FLI1	KIAA1549--BRAF	No_rec_fusion	REV3L--FYN
BS_5PJCHF6V	0	0	0	1	0
BS_5PV5N4HQ	0	0	1	0	0
BS_5PYJQBEA	0	0	0	1	0
BS_5R0HHQ1Y	0	0	0	1	0
BS_5RD8KEED	0	0	0	1	0
BS_5S8VXASX	0	0	0	1	0
BS_5T9PYCRT	0	0	0	1	0
BS_5TT6TT4K	0	0	0	1	0
BS_5V2FBYQG	0	0	0	1	0
BS_5V2XCW17	0	0	0	1	0
BS_5VPM0F36	0	0	0	1	0
BS_5VQP0E6K	0	0	0	1	0
BS_5VSK2DHE	0	0	0	1	0
BS_5W0BW97W	0	0	0	1	0
BS_5WK2KXYW	0	0	0	1	0
BS_5WZE7TYQ	0	0	0	1	0
BS_5XZP7F4Q	0	0	0	1	0
BS_5Y2Q63Y4	0	0	0	1	0
BS_5YCVM9WF	0	0	0	1	0
BS_5YJEPPTP	0	0	1	0	0
BS_5YXP6R6Q	0	0	0	1	0
BS_5Z4XQC9X	0	0	0	1	0
BS_5ZRZC3ZM	0	0	0	1	0
BS_601994WV	0	0	0	1	0
BS_60K3EQ9S	0	0	0	1	0
BS_617JM3FD	0	0	0	1	0
BS_618WFRXY	0	0	0	1	0
BS_61AK2H2N	0	0	0	1	0
BS_61C97RSA	0	0	0	1	0
BS_61E80SD6	0	0	0	1	0
BS_61KN2D29	0	0	0	1	0
BS_62XRDTM6	0	0	0	1	0
BS_63AK4SCF	0	0	0	1	0
BS_63JFFF51	0	0	0	1	0
BS_63QHP547	0	0	0	1	0
BS_644F21BX	0	0	0	1	0
BS_6458RHRT	0	0	0	1	0
BS_64HCD9K3	0	0	0	1	0
BS_656G546M	0	0	0	1	0
BS_65WGB39R	0	0	0	1	0
BS_65YZYWHD	0	0	0	1	0
BS_668350EZ	0	0	0	1	0
BS_6687ZNGS	0	0	0	1	0
BS_66ABA973	0	0	1	0	0
BS_66HQ3E4Z	0	0	1	0	0
BS_67PX06P3	0	0	0	1	0
BS_67Z63A2K	0	0	0	1	0
BS_680K119G	0	0	0	1	0
BS_682Z7WH6	0	0	0	1	0
BS_683F9WT2	0	0	0	1	0
BS_685DACMS	0	0	0	1	0
BS_68BW2163	0	0	0	1	0
BS_68KX6A42	0	0	0	1	0
BS_68S56YSS	0	0	0	1	0
BS_68TZMZH1	0	0	0	1	0
BS_699TN5RN	0	0	0	1	0
BS_69HX9VQM	0	0	0	1	0
BS_69V8P8A0	0	0	0	1	0
BS_69VS8PS1	0	0	0	1	0
BS_6B62YT97	0	0	0	1	0
BS_6DCSD5Y6	0	0	0	1	0
BS_6DT506HY	0	0	0	1	0
BS_6E10DMSJ	0	0	0	1	0
BS_6EASDEJQ	0	0	0	1	0
BS_6F49F7WH	0	0	0	1	0
BS_6FD0SW6E	0	0	0	1	0
BS_6FHKKNF0	0	0	0	1	0
BS_6FV7BDE3	0	0	0	1	0
BS_6FYTRKJJ	0	0	0	1	0
BS_6G6C7VPX	0	0	0	1	0
BS_6GN1FGTB	0	0	0	1	0
BS_6GS4XT7F	0	0	0	1	0
BS_6GTKRGNK	0	0	0	1	0
BS_6GV08HTE	0	0	0	1	0
BS_6H1C1ME9	0	0	0	1	0
BS_6H3DP0G0	0	0	0	1	0
BS_6HE8H9HY	0	0	0	1	0
BS_6HTK4YJP	0	0	0	1	0
BS_6JBE0947	0	0	0	1	0
BS_6JHXXVR7	0	0	0	1	0
BS_6K3Y2WXF	0	0	0	1	0
BS_6KEYD1S4	0	0	0	1	0
BS_6M2053M0	0	0	0	1	0
BS_6M3B3TKJ	0	0	0	1	0
BS_6MY8W3H0	0	0	0	1	0
BS_6MZ7FRZH	1	0	0	0	0
BS_6N3AFF66	0	0	1	0	0
BS_6N7KRTKM	0	0	0	1	0
BS_6NPSZJ4C	0	0	0	1	0
BS_6NRTJSYK	0	0	0	1	0
BS_6NTXGQAC	0	0	0	1	0
BS_6P50QTPP	0	0	0	1	0
BS_6PFQJMM3	0	0	0	1	0
BS_6PQN5AMH	0	0	0	1	0
BS_6Q9PMNWY	0	0	0	1	0
BS_6QF29TRA	0	0	0	1	0
BS_6R7SFVV2	0	0	0	1	0
BS_6S0YKNJD	0	0	0	1	0
BS_6S7T92KS	0	0	0	1	0
BS_6SA5B35V	0	0	0	1	0
BS_6T4JGBGY	0	0	0	1	0
BS_6T87HSPX	0	0	0	1	0
BS_6TDVHGKE	0	0	0	1	0
BS_6TMPZKSZ	0	0	0	1	0
BS_6VF6VPCG	0	0	0	1	0
BS_6VKKMM6M	0	0	0	1	0
BS_6VPKXXMR	0	0	0	1	0
BS_6VQ446ZB	0	0	0	1	0
BS_6VTM903X	0	0	0	1	0
BS_6VTQ3W4M	0	0	0	1	0
BS_6VYD7653	0	0	0	1	0
BS_6WP1FHTE	0	0	0	1	0
BS_6X2BQQGE	0	0	0	1	0
BS_6X36H0V9	0	0	0	1	0
BS_6X3Z0AVR	0	0	0	1	0
BS_6XHDR1WS	0	0	0	1	0
BS_6XP91JM2	0	0	0	1	0
BS_6Y7FX7QJ	0	0	0	1	0
BS_6Y9AK5F8	0	0	0	1	0
BS_6YJ36D88	0	0	0	1	0
BS_6YMCPWP4	0	0	0	1	0
BS_6YMJ621P	0	0	0	1	0
BS_6Z213H2V	0	0	0	1	0
BS_6Z4WHYDG	0	0	0	1	0
BS_6ZP2KRPW	0	0	0	1	0
BS_70FFPA51	0	0	0	1	0
BS_70FKSKM9	0	0	0	1	0
BS_70SGSPD8	0	0	0	1	0
BS_71CN44A6	0	0	0	1	0
BS_71HPXFE7	0	0	0	1	0
BS_7327SDAQ	0	0	0	1	0
BS_742CDKAS	0	0	0	1	0
