sample_id	aliquot_id	Parent RNA	Notes	DNA/ RNA Pair Category
7316-1107	588441	RNA [585474]	Has DNA that shipped from the same extraction	Same Extraction
7316-1108	654212	RNA [645183]	Has DNA that shipped from the same extraction	Same Extraction
7316-1109	571411	RNA [567605]	Has DNA that shipped from the same extraction	Same Extraction
7316-111	470423	RNA [455484]	Has DNA that shipped from the same extraction	Same TISS Aliquot
7316-1111	717118	RNA [567653]	Has DNA that shipped from the same extraction	Same Extraction
7316-1113	571406	RNA [567655]	Has DNA that shipped from the same extraction	Same Extraction
7316-1114	717121	RNA [568032]	Has DNA that shipped from the same extraction	Same Extraction
7316-1115	717122	RNA [568033]	Has DNA that shipped from the same extraction	Same Extraction
7316-1116	571419	RNA [568034]	Has DNA that shipped from the same extraction	Same Extraction
7316-1117	588354	RNA [583305]	Has DNA that shipped from the same extraction	Same Extraction
7316-1118	564480	RNA [560766]	Has DNA that shipped from the same extraction	Same Extraction
7316-1134	588313	RNA [582035]	Has DNA that shipped from the same extraction	Same Extraction
7316-1137	746100	RNA [744179]	Has DNA that shipped from the same extraction	Same Extraction
7316-114	577714	RNA [574704]	Has DNA that shipped from the same extraction	Same Extraction
7316-116	588297	RNA [581275]	Has DNA that shipped from the same extraction	Same Extraction
7316-117	570116	RNA [563012]	Has DNA that shipped from the same extraction	Same Extraction
7316-1187	577723	RNA [575893]	Has DNA that shipped from the same extraction	Same Extraction
7316-119	573170	RNA [571295]	Has DNA that shipped from the same extraction	Same Extraction
7316-120	571417	RNA [567510]	Has DNA that shipped from the same extraction	Same Extraction
7316-121	571416	RNA [567509]	Has DNA that shipped from the same extraction	Same Extraction
7316-1214	470430	RNA [455923]	Has DNA that shipped from the same extraction	Same Extraction
7316-122	549561	RNA [447252]	Has DNA that shipped from the same extraction	Same Extraction
7316-1226	731856	RNA [728438]	Has DNA that shipped from the same extraction	Same Extraction
7316-123	717120	RNA [567511]	Has DNA that shipped from the same extraction	Same Extraction
7316-124	573169	RNA [571294]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-125	739982	RNA [667629]	Has DNA that shipped from the same extraction	Same Extraction
7316-1252	470433	RNA [455924]	Has DNA that shipped from the same extraction	Same Extraction
7316-126	746063	RNA [475807]	Has DNA that shipped from the same extraction	Same TISS Aliquot
7316-127	588296	RNA [580771]	Has DNA that shipped from the same extraction	Same Extraction
7316-1279	470420	RNA [456743]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-128	571418	RNA [567512]	Has DNA that shipped from the same extraction	Same Extraction
7316-13	717149	RNA [581548]	Has DNA that shipped from the same extraction	Same Extraction
7316-1312	739930	RNA [603411]	Has DNA that shipped from the same extraction	Same Extraction
7316-133	717143	RNA [580772]	Has DNA that shipped from the same extraction	Same Extraction
7316-134	570120	RNA [563017]	Has DNA that shipped from the same extraction	Same Extraction
7316-135	116304.116311.116318	This is a tissue aliquot	This is a tissue aliquot	
7316-136	717145	RNA [685559]	Has DNA that shipped from the same extraction	Same Extraction
7316-14	654201	RNA [645176]	Has DNA that shipped from the same extraction	Same Extraction
7316-1455	994695	7316-1455-RNA [407008]	Different TISS aliquot	Different TISS Aliquot
7316-1455	400856	Not found	Different TISS aliquot	Different TISS Aliquot
