Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total
BS_74SJ7YV4	0	0	1	0	51	4	0	4	0	60
BS_9P4NDTKJ	11	1	5	0	42	0	0	1	0	60
BS_HPMX6CT4	2	1	0	1	51	3	0	1	1	60
BS_J8EK6RNF	6	1	5	0	47	0	0	0	1	60
BS_NJV6A585	0	0	7	1	49	1	0	2	0	60
BS_QZRP3NSG	7	1	3	1	45	1	0	2	0	60
BS_TRGECFNP	3	0	0	0	51	4	0	2	0	60
BS_8Q8N6AHW	6	1	4	3	42	3	0	0	0	59
BS_B91XGSA5	0	2	2	0	48	2	0	0	5	59
BS_FKQ7F6D1	1	1	0	0	49	3	0	2	3	59
BS_N8WXTFN4	0	0	2	1	52	1	0	2	1	59
BS_QSMFVHSB	0	0	0	0	52	2	0	2	3	59
BS_VTTTQYQA	7	2	2	0	45	1	0	2	0	59
BS_YZD4SSMA	7	0	1	0	47	4	0	0	0	59
BS_5TT6TT4K	2	0	0	1	51	0	0	0	4	58
BS_6VTQ3W4M	1	0	0	0	53	3	0	1	0	58
BS_E2RXQ3JW	0	0	1	0	54	0	0	0	3	58
BS_GKXD33YH	2	0	4	0	45	5	0	2	0	58
BS_QQP17PDQ	4	0	1	0	47	3	0	2	1	58
BS_RXP2ZRQT	10	3	2	0	37	2	0	4	0	58
BS_T99M7842	0	0	0	0	57	1	0	0	0	58
BS_5CCAC8TZ	2	0	1	0	47	5	0	2	0	57
BS_5KK9P7XD	1	1	1	0	52	1	0	1	0	57
BS_E1VJCEWB	6	1	3	0	43	0	0	1	3	57
BS_G12HNXYX	3	1	1	1	49	2	0	0	0	57
BS_N9BF56FP	4	1	3	0	44	1	0	4	0	57
BS_18NCV5QZ	2	0	1	0	48	2	0	2	1	56
BS_F5KRHGKC	0	0	1	1	45	0	0	0	9	56
BS_M28HG0NT	0	1	0	1	47	5	0	1	1	56
BS_0J5MCBZV	9	3	3	1	35	2	0	2	0	55
BS_22VCR7DF	7	5	4	0	31	5	0	3	0	55
BS_5Y2Q63Y4	0	0	3	1	49	1	0	0	1	55
BS_7F07M7JG	2	1	3	0	48	1	0	0	0	55
BS_9QMVZ4C0	0	1	1	0	49	2	0	1	1	55
BS_EP25TTAG	2	0	1	0	47	3	0	2	0	55
BS_H3TYF6GD	1	1	0	0	51	2	0	0	0	55
BS_KHSYAB3J	2	1	2	0	48	2	0	0	0	55
BS_ZR75EKKX	5	3	4	0	34	4	0	4	1	55
BS_3NX3RBCX	4	1	3	0	42	2	0	2	0	54
BS_6Z213H2V	2	0	3	0	39	1	0	1	8	54
BS_QHTDJG77	2	0	0	0	47	2	0	1	2	54
BS_SYWRCE3Z	0	0	1	0	42	4	0	0	7	54
BS_Y2C78JC4	0	2	3	0	46	2	0	0	1	54
