"","stranded_over_polya_logFC","average_logCPM","F","PValue","BH FDR"
"HNRNPUL1",0.046255691823297,8.37796345622137,0.0183535794916297,0.89433768930108,0.977336640034472
"ARFGAP1",-0.0519168110122477,6.57962117376071,0.0183156833249057,0.894446114443676,0.977336640034472
"SEPSECS",0.05786082104769,4.29209699115767,0.018314311724799,0.894450040887784,0.977336640034472
"C19orf25",-0.0508019704516323,4.70211223712081,0.0183124567823139,0.8944553512221,0.977336640034472
"FBLN2",-0.173929499059458,5.18689204230215,0.0182823389777609,0.89454161096059,0.977336640034472
"TNC",-0.104708083325371,9.86101395509361,0.0182772249655655,0.894556265083418,0.977336640034472
"CSF1",0.0842657446201819,6.74657662078985,0.0182691951705732,0.894579278555452,0.977336640034472
"CRIP3",-0.0989322762923083,0.651567803331173,0.0182669740745815,0.894585645149047,0.977336640034472
"AC008906.1",0.103696518070267,-1.31015300405389,0.018200815683664,0.89477546415276,0.977494226819559
"CYB5R3",-0.0475029057173971,7.34673332542783,0.0181444980444071,0.89493732580602,0.977621257201157
"GYS1",-0.042735648329036,5.50568964531332,0.0180771493872676,0.895131228165302,0.97776733316315
"LSMEM1",-0.0947822693158806,1.01227296192463,0.0180663957769434,0.895162222770963,0.97776733316315
"SYTL4",-0.109821943521038,5.18591905917096,0.0180320312140839,0.895261333163734,0.977825791806069
"ME2",-0.0462268240855333,6.03146391797225,0.0180089738421625,0.895327886610769,0.977830759171115
"AP001372.2",-0.0528829076440285,2.7824712275409,0.0179988705806108,0.895357062633417,0.977830759171115
"ADCY3",0.0350862122308971,5.30357231749437,0.0179144546320732,0.895601164496772,0.977999345011024
"LILRB5",-0.142573932492831,-0.500555096860556,0.0179112958476319,0.895610309980307,0.977999345011024
"LMOD1",0.0972237127245818,4.39808168800683,0.0178976933662233,0.895649702014358,0.977999345011024
"THTPA",-0.0565132227484884,4.84052573832567,0.0178679749119582,0.895735818130445,0.977999345011024
"AL049839.2",0.172152136877481,3.97511069766231,0.0178614780691526,0.895754653960414,0.977999345011024
"SLC35C1",0.0415755925192367,4.28752303896954,0.0178398314804657,0.895817437570669,0.977999345011024
"FSCN3",-0.0636606649775428,-2.14314950055035,0.0178352882211941,0.895830619735481,0.977999345011024
"USP3-AS1",0.0641154144497553,0.0696439422013886,0.0177537554821259,0.896067476698221,0.978164163348262
"XPOT",0.0355700095013025,7.54199833852407,0.0177507318796331,0.896076271072567,0.978164163348262
"TOB1-AS1",-0.0760869859299374,0.747176230762298,0.0177349442057559,0.896122203107905,0.978164163348262
"UAP1L1",-0.114123481816552,6.09850235525805,0.0177156502894579,0.896178364364937,0.978164163348262
"AOAH",-0.111188839243452,2.89372082632405,0.0176850486188147,0.896267504495469,0.978164163348262
"TEX14",0.18711082685487,3.22157122361196,0.0176835504152708,0.896271870655493,0.978164163348262
"PARP12",-0.0694661907208996,4.99553987976003,0.0176736133403451,0.896300834683112,0.978164163348262
"AC104836.2",0.122476082155602,-0.539343618477657,0.0176384790001519,0.896403308872727,0.978226222077045
"NKX6-2",-0.165901073584822,1.6604312717136,0.0175875263851693,0.896552104208268,0.978298416896898
"SLC27A2",-0.156635228533413,1.48185205963602,0.0175753865255713,0.89658758824701,0.978298416896898
"MEI1",-0.0817282527525252,-0.680541246214694,0.0175657751560889,0.896615690527147,0.978298416896898
"IPO4",-0.0561363657687985,5.24434836071326,0.0175084408972917,0.896783490747152,0.978298416896898
"SNX25P1",-0.129205880838873,-1.10293617189604,0.0175078451909855,0.896785235669441,0.978298416896898
"RBFOX1",-0.172222453893396,2.72310706832582,0.0175005408179455,0.896806633845651,0.978298416896898
"IPO5",0.0353004236884061,7.71700608633444,0.017481009612113,0.896863872911865,0.978298416896898
"ASIC3",-0.109135090046105,1.88327304768247,0.0174736948006294,0.896885318425591,0.978298416896898
"ENDOG",-0.0542719934741489,3.77524142817088,0.0174734688549163,0.896885980924475,0.978298416896898
"MYLK3",0.123197942193697,1.73902133401006,0.0174395448628891,0.896985499542873,0.978298416896898
"CCDC184",0.114668659913028,2.52323842427399,0.0174205535362496,0.89704125510557,0.978298416896898
"LGR4",-0.057703163613916,5.36097881308042,0.017420157991577,0.897042416691881,0.978298416896898
"HOXC9",-0.262067894496146,2.00857859798128,0.0174067893058423,0.897081684085893,0.978298416896898
"GPR107",0.0326192364961289,6.96909903540315,0.0173897810258205,0.897131664149306,0.978298416896898
"ADGRB1",0.1890988023045,6.76933619972501,0.0173711846842,0.897186339350347,0.978298416896898
"GALNT3",0.132953656333888,2.23804601830228,0.017352046456534,0.897242638891028,0.978298416896898
"LINC00877",-0.0806728959581536,-1.23965477526876,0.0173361681690202,0.897289372570534,0.978298416896898
"CYTH3",0.0360937177961948,5.85457485584763,0.0173079234737423,0.897372557523287,0.978298416896898
"CASC18",-0.0983373339726963,-1.52062913576529,0.0172770380721945,0.897463598936732,0.978298416896898
"AP1G2",0.077108465035224,4.26375162029161,0.0172755401403206,0.897468016522214,0.978298416896898
"PLK4",-0.0605812616543748,4.05188089657511,0.0172629195777969,0.897505243863127,0.978298416896898
"TGFBR1",0.0561472617262516,6.98335730430764,0.0172601604289558,0.897513384472932,0.978298416896898
"STK24",0.0368811121417977,6.20438219356927,0.0172584083559594,0.897518554143988,0.978298416896898
"KLF16",0.0478528206832437,4.58572621368278,0.0172259520166802,0.897614368282244,0.978301256664871
"PCK1",0.170121512719295,-0.270068821449284,0.0172259222173022,0.89761445629501,0.978301256664871
"ARPP21",0.159024666835672,3.16717166615646,0.0172111832351213,0.897657997536585,0.978301256664871
"SLC13A4",-0.282971028766615,5.38466314915741,0.0170955028979256,0.898000396667958,0.978509041683371
"C8orf58",-0.0441217682658207,3.00047016917987,0.0170900163850635,0.898016665311447,0.978509041683371
"MLKL",-0.0697397760867718,2.22171320408074,0.0170871542647623,0.898025153144651,0.978509041683371
"SP9",-0.240412176303413,3.66709986994429,0.0170851342793466,0.89803114399923,0.978509041683371
"KIF20A",-0.0720040479982023,5.49380303916753,0.0170370822923708,0.898173762632584,0.9785661106502
"FAM155A",-0.16677174607093,3.27439389042594,0.0170092193754773,0.898256553788479,0.9785661106502
"PGAP1",0.0547649136636656,6.39443236679427,0.0170019676852886,0.898278112596957,0.9785661106502
"SLC12A8",0.0968535767692103,2.65271450590193,0.0169792171354113,0.898345778919691,0.9785661106502
"TRIM47",-0.116561422562912,6.74217343444115,0.0169780449783346,0.89834926648371,0.9785661106502
"ZBED5",-0.0391292338427556,5.70398554510424,0.0169298184371025,0.898492863195771,0.9785661106502
"AC233992.2",-0.123526901485195,-0.433708843083304,0.016928024718716,0.898498208087886,0.9785661106502
"SMARCD1",0.0424887836685998,7.06543498022155,0.0168869231608121,0.898620760918036,0.9785661106502
"NAT16",-0.168735342335271,2.10031819850837,0.0168786504652881,0.898645446029347,0.9785661106502
"C7orf57",-0.143738806432657,1.5864324486592,0.0168705709963536,0.898669560512751,0.9785661106502
"ZNF131",0.033489056415672,5.10467459697392,0.0168601499074883,0.898700672623693,0.9785661106502
"UTS2B",0.0869239456804518,-1.8393149197611,0.0168524734745448,0.898723596839593,0.9785661106502
"TBC1D3L",0.179882469719435,3.70585408955884,0.0168348998684227,0.898776097114881,0.9785661106502
"QKI",-0.0638164076868148,9.53233744008658,0.0167936950314228,0.898899304018838,0.9785661106502
"MYO1G",0.127563469947895,2.19208469578445,0.0167842404937369,0.898927595803869,0.9785661106502
"NOS2P3",0.130697914075094,-0.676206115404335,0.0167518484289815,0.899024587468117,0.9785661106502
"B3GAT2",-0.165302431976166,4.42836684638622,0.0167501351504432,0.899029720200661,0.9785661106502
"LCA5L",-0.0611445502824011,0.644970869306934,0.016719131027029,0.899122650246957,0.9785661106502
"CYP2U1",-0.0643539795043488,4.96091004833853,0.0167137336407369,0.899138837036018,0.9785661106502
"KIFC3",-0.0759114394864301,5.07727809898934,0.0167006040160248,0.899178223959328,0.9785661106502
"NICN1",-0.044016156298985,4.04101088711668,0.0166679654544359,0.89927620313542,0.9785661106502
"LINC01152",-0.114688339012504,2.5017420514845,0.0166599012335194,0.8993004265261,0.9785661106502
"BUB3",-0.0720772119759933,6.96948973056648,0.0166564746304978,0.89931072119853,0.9785661106502
"C1orf74",0.0546448204831469,3.01601073991673,0.0166343197625707,0.899377307932722,0.9785661106502
"TMEM98",-0.103809693359002,5.86524149636736,0.0166293206038627,0.899392339207565,0.9785661106502
"SOX3",-0.146927487889123,2.19645761586897,0.0166248138323108,0.899405891963288,0.9785661106502
"CEP95",0.0476228377950751,4.75477605934383,0.0166167248626856,0.8994302217897,0.9785661106502
"MYLK",-0.118880621178428,6.23588896413257,0.0165735886923208,0.89956006772226,0.9785661106502
"ASIC1",-0.103557559794942,5.23956478954315,0.0165526656310962,0.899623111019357,0.9785661106502
"ESYT1",0.0885275957462988,7.46224817603874,0.0165265906595472,0.899701734332078,0.9785661106502
"PCBP3",-0.105391591100548,3.41512774885076,0.0165125890037244,0.899743979281438,0.9785661106502
"VPS26B",-0.0270465439222345,6.6833149921478,0.0165092277278271,0.899754123432869,0.9785661106502
"ARHGAP19",-0.116657723647198,5.92701039976429,0.0164803014311697,0.899841464930937,0.9785661106502
"GABRA2",0.201462365126409,2.93112490698081,0.0164659036558008,0.899884967367877,0.9785661106502
"TFAP2B",0.275768259143855,3.22217502030643,0.0164547614892911,0.89991864637006,0.9785661106502
"IFIT5",-0.0551389559523119,5.32154536279451,0.0164506458047085,0.89993108962786,0.9785661106502
"SMTNL2",0.137026117440673,0.401186754371391,0.0164183977489418,0.900028642476428,0.9785661106502
"ADD3",-0.0520668113027945,7.48905470308343,0.016401550448408,0.900079645630062,0.9785661106502
"ELMOD3",0.0445079089134966,4.16573741800234,0.0163923352197533,0.900107554892884,0.9785661106502
"HRASLS5",-0.153429975968802,2.5346717926485,0.016373768297114,0.900163810974334,0.9785661106502
"GPER1",0.064611370535511,3.03375659720483,0.0163112146814008,0.900353581998268,0.9785661106502
"INSM1",0.164675808595754,5.21098740732199,0.0163102606754747,0.900356479062403,0.9785661106502
"LHX2",-0.168997149512632,3.8888658322132,0.0163039373692059,0.900375683454063,0.9785661106502
"SNAP91",0.0939147134655861,4.90722955486365,0.0162886965419212,0.900421986656822,0.9785661106502
"SYNGR1",0.0620262024326394,5.21114426471784,0.0162861775865255,0.900429641624972,0.9785661106502
"FOXO4",0.0540257345084086,4.41679095107928,0.0162705190578334,0.900477240556808,0.9785661106502
"AGMAT",-0.0747338772873702,0.686827808076252,0.0162595054873442,0.900510733666536,0.9785661106502
"HOXC6",-0.219219797408756,2.57451901077276,0.0162448622631953,0.900555282710116,0.9785661106502
"SLC30A6",-0.0354341321337288,4.95853829545976,0.0162434237184113,0.900559660293139,0.9785661106502
"UBA7",-0.0644219667757394,5.10221212381905,0.0162384310207291,0.900574854919211,0.9785661106502
