Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
BS_5PJCHF6V	0.000385271237353991	0.00142470665997426	0	0.0072360853137378	0	0.109948763887177	0	0.0159458170901706	0.00304247530022575	0	0.000490226103794883	0.0108190888672864	0.0223348672987296	0	0.00510878469639578	0.0842222253270014	0	0	0.0340211830253263	0	0.00502050519282646	0	9999	-0.0317681859222815	1.09793243008465	0.3
BS_5PV5N4HQ	0.00460072878343898	0.00646581803860947	0.00332260709706802	0.0450557581138341	0	0.154130709355707	0	0.014054002757578	0	0	0.0271073630540763	0.0485229291339081	0.0576685945431051	0	6.02841554409567e-05	0.293937523690315	0	0	0	0.0513351041944294	0.00290691430206982	0.000831662780419666	9999	0.0417700793442071	1.07904037033782	0.71
BS_5VQP0E6K	0	0.00176538894594938	0.0108527227526253	0.00543851637793804	0	0.00240093301537136	0	0.0354772107814797	0	0	0	0.0133702660225985	0.00888165523089503	0	0	0.160837242170175	0	0	0	0.000976064702967391	0	0	9999	-0.0354209175953248	1.14262970208926	0.24
BS_5YJEPPTP	0	0.0109900821397426	0	0.0773785964732429	0	0.202024086070026	0	0.00722068409005283	0	0	0.0756158113771158	0.0147822177786734	0.0802977141602132	0	0.00110700632892147	0.226220898045001	0.000588675972867695	0	0	0.0161808010777807	0	0.0175934264863625	9999	0.0381884371560946	1.08045738655434	0.73
BS_60K3EQ9S	0	0.0104358488727177	0	0	0	0.0434993754874286	0	0.00497460548891441	0	0	0.0262173296398591	0	0.0550400253424353	0	0	0.225614646068158	0	0	0.0342917548045551	0	0	0.00992641429593181	9999	0.0203942576209329	1.09931456963346	0.41
BS_61E80SD6	0	0.0244566436399352	0.005697030771024	0.0187183076630805	0	0.0520190589581171	0	0.0830066240835572	0.00516679418754578	0	0	0.011446153775492	0.0230663714722144	0.0610060225321703	0	0	0	0	0.0393812608078458	0	0.00188125897221787	0.00415447313679982	9999	-0.0347229765903265	1.10529971542052	0.33
BS_64HCD9K3	0.0246013979329075	0	0.0135616841444353	0	0	0.0132154121019738	0	0.0335582296150812	0	0	0	0.0134125851963665	0	0.0198374034457265	0	0.0423214421340975	0	0	0	0.0282275486395911	0	0.0712642967898204	9999	-0.0731709240473253	1.14777025617084	0.26
BS_66ABA973	0.000995752623484554	0.00184297238965244	0	0.0116217004996478	0	0.106840711581017	0	0.0110752133492496	0	0	0	0.0165288512046339	0.0290087805924516	0	0	0.144363684522897	0	0.00293665439784901	0	0.00735033532204856	0.000964985978339753	0.00647035753872889	9999	0.0307381254744515	1.08449277146528	0.34
BS_66HQ3E4Z	0	0.0119387087378145	0	0.0411584428237118	0	0.152696298099261	0	0.0197070938549355	0.01113951484166	0	0.0703397951486357	0.00256681171569961	0.0402914085170392	0	0	0.18412963052162	0	0.00240813635189856	0.0332642757318676	0	0	0.000359883655856663	9999	0.00103977284595645	1.0896277034865	0.57
BS_67PX06P3	0.0631645582722347	0	0.00339002819662878	0.0550252703655187	0	0.176234251544301	0	0.0685416633699406	0.00872959468533744	0	0	0.0378781824304747	0.0344110564283995	0	0.00928995039107884	0.322332041000422	0	0	0.025330864228079	0	0	0.0156725390875851	9999	0.101165675601827	1.04680232710191	0.82
