"","gene","stranded_over_polya_logFC","average_logCPM","exact_test_pval","lrt_pval","qlft_pval","normalized_count_cv","s1_stranded_BS_HE0WJRW6","s2_stranded_BS_SHJA4MR0","s3_stranded_BS_FN07P04C","s4_stranded_BS_8QB4S4VA","s5_stranded_BS_KABQQA0T","s6_stranded_BS_D7XRFE0R","s1_polya_BS_HWGWYCY7","s2_polya_BS_X0XXN9BK","s3_polya_BS_W4H1D4Y6","s4_polya_BS_QKT3TJVK","s5_polya_BS_7WM3MNZ0","s6_polya_BS_68KX6A42"
"1057","DNAJC24",0.238056093136355,0.918411761730813,0.561297389013918,0.556242904280996,0.636619345004391,0.363219888213784,51.222316207681,122.252601418221,174.685180097768,89.6011200842326,109.326689453604,69.0941361470729,75.6131457679279,111.397212312972,173.142679276361,90.6733105463959,136.202408753882,83.9821313250944
"1058","LRWD1",0.162436148946196,0.855240331477682,0.689942085556391,0.688113192348482,0.735338733869231,0.363366805891662,138.870390270269,65.4362634967793,136.0045409661,90.9401241981645,45.5079757187966,83.2430079374443,140.73849985464,95.3212007001851,170.541323596341,123.824674054992,60.3477919086802,104.678799299815
"1059","RNF126",0.177087145397186,0.941365449069526,0.662849279612214,0.661419036293537,0.723382211970398,0.363506608963153,91.501071488548,60.8607119391643,163.978499096197,77.6775751550662,100.031068903406,99.9689310965944,91.8092636526379,76.7518170974718,204.073168768546,108.159471601602,119.839290496377,115.342680696228
"1060","UXS1",-0.104609477115862,0.825594169831003,0.807028786218148,0.795984298204671,0.795565436484077,0.363749051368395,75.8300511737733,76.7439859552201,108.718056633343,69.2884079954921,71.0232253200581,123.07541012282,104.581421388683,120.765901813202,187.793044524937,87.5490397937195,95.4185786113166,177.347430865492
"1061","FMNL2",0.493558173496944,0.890537679121082,0.229434824941347,0.223162185000487,0.290477489762861,0.36377621192149,73.3469688218059,101.202893150982,98.7971068490176,117.04984704011,175.108778010109,130.781302890502,45.6499934499846,73.7563825846245,93.6089744092195,87.5386071305991,175.486365984358,129.238052396096
"1062","GNAS",-0.220521178913892,0.804184627453488,0.592582893638446,0.586251720426307,0.609080399352897,0.363854745244268,61.4936484408309,94.997369601919,113.578246705726,73.4570209503625,75.5824021130977,77.1326235879617,105.002630398081,86.8339229055783,205.586473043767,119.376645582359,117.332559911638,106.273171832803
"1063","TADA2A",0.0774627614531484,0.825386939246195,0.853489125562823,0.848090655373072,0.85936869733833,0.363888153431801,72.3446432757288,92.315871892288,69.4483486255669,153.798604770904,124.002955394212,83.9433127828225,62.1748115192734,126.26450051957,58.2713626150984,170.254946579778,148.353723383351,107.684128107712
"1064","FLYWCH2",-0.404659671969323,0.859487106771344,0.321658259276747,0.318108593892914,0.365847237672823,0.364013973746707,86.5592900448629,65.8457022469107,72.4180370474344,94.1397290821617,107.312537242912,64.2618491729154,137.615824235322,88.2433319509339,105.860270917838,152.481164435587,196.200714774051,110.81342463898
"1065","TBC1D13",0.323735278922949,1.00939389507271,0.426197698891717,0.422810463967177,0.509226135984281,0.364060983984054,207.147883856524,100.417725436577,99.5822745634228,68.5069911378219,91.9426486093742,119.162100292025,179.40855815726,158.444416849131,116.632308585947,72.0704396911102,97.9666753187565,97.0201004508006
"1066","TMEM87A",0.0583652217770118,0.8860423087746,0.884127464873635,0.885267319294222,0.902364344866366,0.364065319025372,68.5696602637038,72.2458600387207,145.067213755518,120.115888444942,74.9745023362895,84.8733330752728,110.157912781985,69.778471359724,198.866064626304,136.326471461486,100.584413998053,99.4155860019471
