"","stranded_over_polya_logFC","average_logCPM","F","PValue","BH FDR"
"ULK1",0.346369268689564,4.78189898092445,1.38649895790628,0.245962684396249,0.423087376126668
"CYB5R1",-0.590593242914367,5.101323560895,1.38502256636012,0.246210047041637,0.423173518352814
"PPP1R14B",-0.475439249887973,4.86792877379921,1.38155289274199,0.246792607839536,0.423835183199203
"CKAP5",0.524829840698305,4.99073823501255,1.37503948320041,0.247890906556978,0.425126646385974
"RAB1B",-0.319930904937584,4.70332191544006,1.37474330167904,0.247940995164967,0.425126646385974
"MGRN1",0.362746328440159,4.63039637471306,1.36990957977265,0.248760252825608,0.426190688746749
"MTPN",-0.349312515045063,4.71913310095043,1.36648376927008,0.249342953012494,0.426848071996647
"BNIP3L",-0.35233222784589,4.67760263477281,1.36436362245286,0.249704433593388,0.427126004830795
"RRAGA",-0.376793138858101,4.62693532538705,1.36219833852323,0.250074292519159,0.427171152697611
"UBL7",-0.328177647495497,4.68520714247853,1.36187768840013,0.250129122511981,0.427171152697611
"CCDC9",-0.357891870161967,4.63578180391422,1.35113413706816,0.25197503622638,0.429981267068882
"EEF1D",-0.578617688847253,5.07912326172389,1.34810362869171,0.252498835670838,0.430532593413313
"SLC4A1AP",-0.333349134855309,4.62322850337392,1.33889938911967,0.25409818231947,0.432915489336985
"PHF5A",-0.379625356155717,4.80341623953228,1.33595644396258,0.254612258290773,0.433447058756911
"SMARCD2",-0.45103320041918,4.99931745787146,1.33208681879018,0.255290214377812,0.433731166836343
"ATG101",-0.466759224997276,5.01066451947566,1.33186880355653,0.255328478556276,0.433731166836343
"SEC13",-0.304351274409473,4.67307072161046,1.33154248971501,0.255385763969371,0.433731166836343
"EIF2AK1",-0.354185567013015,4.77024429219137,1.33014297540397,0.255631637943218,0.433805271667882
"TMEM259",-0.34553986693403,4.70356944606718,1.3257274553895,0.256409349687301,0.434781071208902
"PCMTD2",-0.721296536008625,5.35451549784053,1.31665490298196,0.258016757384332,0.437161093672506
"RPN2",-0.411071477355473,4.83259073337451,1.31434712398875,0.258427672963596,0.43751172731406
"CASC3",0.444882208770517,4.88998933334026,1.30851966792895,0.259468999637179,0.43892823676794
"MRPL46",-0.291466697947594,4.72537948664741,1.30640522029673,0.259848156281355,0.439223242886924
